url,type,status,saved_path
https://static.npfs.co/accounts/664/documents/2026/1/24/182582839d6248b78040babe4ab7e3e7_23 NAVA NALANDA CENTRAL LIBRARY.pdf,pdf,downloaded,output\pdfs\182582839d6248b78040babe4ab7e3e7_23_NAVA_NALANDA_CENTRAL_LIBRARY_a8f7f8a7.pdf
https://static.npfs.co/accounts/664/documents/2026/5/12/b9e33aa15d0348c1a9fb72877e2ab874_JEE Main - 2026 Missing-Incorrect Scorecard - 12052026.pdf,pdf,downloaded,output\pdfs\b9e33aa15d0348c1a9fb72877e2ab874_JEE_Main_-_2026_Missing-Incorrect_Scorecard_-_12052026_34fed81a.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/9c986e54063c4c82a23d721f2825649f_04 Fake agents_TIET.pdf,pdf,downloaded,output\pdfs\9c986e54063c4c82a23d721f2825649f_04_Fake_agents_TIET_d6dbc6e1.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/bf1c6b53a46440b39aae7784051e6d84_18 BRIEF INFORMATION ABOUT SPECIALISATION COURSES IN BE (COMPUTER ENGINEERING).pdf,pdf,downloaded,output\pdfs\bf1c6b53a46440b39aae7784051e6d84_18_BRIEF_INFORMATION_ABOUT_SPECIALISATION_COURSES_IN_BE__COMPUTER_ENGINEERING__b78eaac9.pdf
https://static.npfs.co/accounts/664/documents/2026/6/12/873add07e9fb4c51ad81e2e4760bfe98_Notice regarding Second round of counselling.pdf,pdf,downloaded,output\pdfs\873add07e9fb4c51ad81e2e4760bfe98_Notice_regarding_Second_round_of_counselling_e0c7ab44.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/e7405eddb07a445992e0485856751152_03 BRIEF INTRODUCTION.pdf,pdf,downloaded,output\pdfs\e7405eddb07a445992e0485856751152_03_BRIEF_INTRODUCTION_4912bae0.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/3106a6d3903c43ceb31dfee1cd64e6c5_09 ADMISSION TO MCA PROGRAM.pdf,pdf,skipped_duplicate_content:1fc72cf6,
https://static.npfs.co/accounts/664/documents/2026/1/24/6f7b4a133f2243bdb7653762cf0ad9ad_02 PREFACE.pdf,pdf,downloaded,output\pdfs\6f7b4a133f2243bdb7653762cf0ad9ad_02_PREFACE_8fb32542.pdf
https://static.npfs.co/accounts/664/documents/2026/3/20/9e19a5d83c884f50bd1ca2dfc3ad0cc7_05 TUITION FEE AND OTHER DUES.pdf,pdf,downloaded,output\pdfs\9e19a5d83c884f50bd1ca2dfc3ad0cc7_05_TUITION_FEE_AND_OTHER_DUES_a65ade5d.pdf
https://static.npfs.co/accounts/664/documents/2026/3/23/413f2739fb0f4c80ab9e846c83906f92_14 SCHOLARSHIP POLICY.pdf,pdf,downloaded,output\pdfs\413f2739fb0f4c80ab9e846c83906f92_14_SCHOLARSHIP_POLICY_85b6d27a.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/35e9cdca941541669de3af535d968abe_08 ADMISSION TO ME-MTECH PROGRAMS.pdf,pdf,skipped_duplicate_content:e8bdfc42,
https://static.npfs.co/accounts/664/documents/2026/3/30/72346df46e4649f08440dfd11f9a018c_10 ADMISSION TO MSC - BIOTECHNOLOGY PROGRAMME.pdf,pdf,downloaded,output\pdfs\72346df46e4649f08440dfd11f9a018c_10_ADMISSION_TO_MSC_-_BIOTECHNOLOGY_PROGRAMME_52fe1bc9.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/46c20e7c0de84cd68dbd1ecb952f34fc_26 DISCIPLINE.pdf,pdf,downloaded,output\pdfs\46c20e7c0de84cd68dbd1ecb952f34fc_26_DISCIPLINE_00746f73.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28 STUDENT ACTIVITIES.pdf,pdf,downloaded,output\pdfs\4d37110458134e2596d49a358bd97dd1_28_STUDENT_ACTIVITIES_2d7f7e24.pdf
https://static.npfs.co/accounts/664/documents/2026/6/27/288fba1ba3c14f60a7108aa93868a969_Diploma Counselling - II Schedule.pdf,pdf,downloaded,output\pdfs\288fba1ba3c14f60a7108aa93868a969_Diploma_Counselling_-_II_Schedule_a1fa8968.pdf
https://www.thapar.edu/students/pages/hostels,html,text_extracted,output\html_text\hostels_62074410.txt
https://www.thapar.edu/programmes,html,text_extracted,output\html_text\programmes_005a4859.txt
https://www.thapar.edu/students/pages/fee-circular-and-fee-chart,html,text_extracted,output\html_text\fee-circular-and-fee-chart_2e346ed3.txt
https://www.thapar.edu/upload/files/ProjectRegistrationNotice.pdf,pdf,downloaded,output\pdfs\ProjectRegistrationNotice_33a836d8.pdf
https://www.thapar.edu/upload/files/Fee Payment Circularoddsem2022.pdf,pdf,downloaded,output\pdfs\Fee_Payment_Circularoddsem2022_081c2ce2.pdf
https://www.thapar.edu/upload/files/Extension of due date for payment of feeoddsem22-23.pdf,pdf,downloaded,output\pdfs\Extension_of_due_date_for_payment_of_feeoddsem22-23_06196773.pdf
https://www.thapar.edu/upload/files/Fee Circular2022.pdf,pdf,downloaded,output\pdfs\Fee_Circular2022_f5836792.pdf
https://www.thapar.edu/upload/files/Hostel Refund Policyupdated.pdf,pdf,downloaded,output\pdfs\Hostel_Refund_Policyupdated_c431d162.pdf
https://www.thapar.edu/upload/files/ProjectSem.Regn2022-23EVENSEM.pdf,pdf,downloaded,output\pdfs\ProjectSem.Regn2022-23EVENSEM_d9d6450c.pdf
https://www.thapar.edu/upload/files/Fee payment circular for 2021-22.pdf,pdf,downloaded,output\pdfs\Fee_payment_circular_for_2021-22_a98d4fdf.pdf
https://www.thapar.edu/faculties,html,text_extracted,output\html_text\faculties_6dd6cbea.txt
https://csed.thapar.edu/,html,text_extracted,output\html_text\index_b4d126b7.txt
https://csed.thapar.edu/images/pdf/AcademicRegulations.pdf,pdf,skipped_duplicate_content:1d58d1ca,
https://csed.thapar.edu/faculty,html,text_extracted,output\html_text\faculty_8e259932.txt
https://csed.thapar.edu/programmes,html,text_extracted,output\html_text\programmes_9d06b25d.txt
